"","text"
"135"," rep late figured hrs wait dps catch mel wrong credit pulled stops made min spare exciting spend ladt day indonesia "
"136"," rn price january "
"137"," rn january "
"138"," rn time leg space december "
"139"," flew bali surabaya aircraft tired window dirty ac didn’ work hot entire "
"140"," rn avond company december "
"141"," rn minutes flew warms ac december "
"142"," today december fly pm delayed pm pm staff plane arrived announcement scheduled fly pm delay announcement destination shown top management capable job "
"143"," rn time december "
"144"," rn playing waiting game december "
"145"," rn fligth krabi bangkok don muang december "
"146"," rn december "
"147"," rn cheap good december "
"148"," rn put dot december "
"149"," rn don expect december "
"150"," rn cancellation november "
"151"," rn quid fligys november "
"152"," booked app arrived bangkok journey time mins centre bangkok traffic terrible hour leave travel time airport clean tidied huge huge food selection "
"153"," im lucky met delays heard people delay hours cancelled free water spend money leave thirsty aircraft cancellatikn booking "
"154"," rn anymore november "
"155"," cabin crew delivered good friendly service flights delayed hour bit inconvenient caused technical issue chain reaction traffics airportsoverall alright "
"156"," rn turtle lol november "
"157"," rn wouldn book november "
"158"," attempted booking day indonesia allowing book informed credit cards foreign bank cards hours booking atm transfer googled "
"159"," dont multiple comments received locals trusted fact biggest private indonesia comments flights booked delayed hours book flights "
"160"," rn late october "
"161"," recently flights jakarta yogyakarta back jakarta flights late leaving yogya half hours late give credit point gave fried chicken box doesn free water "
"162"," rn ’ long ’ relying time october "
"163"," rn pay october "
"164"," rn feet october "
"165"," rn flying plane october "
"166"," flew times satisfactory schedule delayed long landing plane slammed mid october flew batam kuala namu medan medan penang malaysia boarding schedule calling officers "
"167"," rn make fly october "
"168"," lot airlines group yogyakarta bandung oktober oclock delayed weather boarding poor enjoy half hour yogyakarta minutes top yogyakarta "
"169"," price cheap airplane delayed reason people flexible time recomended aircraft recommend plane "
"170"," rn longer luggage fly october "
"171"," omg wait plane hour landed minutes lot bags minutes "
"172"," rn late october "
"173"," rn time october "
"174"," cheaper time delay mess boarding people carry bags crew manage bag bigger allowed bag board bags stop respect "
"175"," rn average service september "
"176"," rn late september "
"177"," rn champion delay september "
"178"," rn time inthe morning september "
"179"," rn typical low cost career september "
"180"," rn running late september "
"181"," rn leg room september "
"182"," rn master delay september "
"183"," rn average september "
"184"," rn short distance september "
"185"," minutes late announcing plane solo total delay adds hours screwed night planning driving amed night pay bit extra reliable managed time worth "
"186"," rn low cost compagny banished august "
"187"," time time alternative don recommend slightly asia departure time accident past notorious indonesia garuda promo day citilink subsidiary "
"188"," rn august "
"189"," fly airlines cheapest price compared airlines time delayed hour delay queue luckily provide refreshment tough biscuit mineral water prepared arrive airport minimum hours ahead check "
"190"," reached gate told gate agent delayed minutes due equipment change end hours delay departure arrival hour clear immigration fortunately connection catch "
"191"," increased service daily service larger aircraft seat pitch smaller plane slightly late possibly due traffic denpasar "
"192"," rn time august "
"193"," replaced cheap booked asia fight jkt kl kl bkk melindo night day difference usual cheap cheerful fight room leg melindo partner decent leg "
"194"," rn airlines maintain schedule august "
"195"," rn august "
"196"," rn low cost airplane august "
"197"," airplane good hurry choose airplane delay everyday "
"198"," rn maltratan equipajes august "
"199"," rn fine delayed august "
"200"," rn indonesia garuda august "
"201"," rn true low cost august "
"202"," true type low cost charge water "
"203"," rn august "
"204"," rn money budget july "
"205"," booked time offer direct connection kno pdg expected time servicd onboard pay small water good service landing pdg confusing brake runway landing machine "
"206"," rn line july "
"207"," disappointed understand competitive price offset maximum service raises complaints arise choice enjoy trip "
"208"," rn recommeded special july "
"209"," rn avoid july "
"210"," rn route airport indonesia july "
"211"," years ago people complaint dont option market leader indonesia route city indonesia low cost carrier dont expect entertainmnent thing made improvement "
"212"," traveled jambi service slow staff helpful friendly staff playing customer ticket agreement check time minutes departure reality customer check minutes departure rejected check counter "
"213"," rn july "
"214"," budget unlike airlines include kilos luggage person don worry luggage family travelling hari raya idul fitri price times normal price reasonable frequent flights jakarta "
"215"," rn surprisingly time july "
"216"," rn price service july "
"217"," offer cheap ticket big cities indonesia earlier book cheaper price batik sister east part indonesia fly malaysia thailand armada aircrafts ground staff "
"218"," rn minus late min july "
"219"," rn late late late june "
"220"," rn late nature june "
"221"," rn time plm pgk return june "
"222"," rn singapore june "
"223"," rn good cheap june "
"224"," rn timers june "
"225"," rn average june "
"226"," rn ontime june "
"227"," rn charter direct guangzhou manado june "
"228"," time flying company hours delayed boat gili late time charged extra taxes imagine reach gili airplane stood min stopped hot inside plane "
"229"," rn stinking toilets "
"230"," rn good delay "
"231"," rn destination "
"232"," destination customer service time departure reasonable baggage policy ’ slogan “ fly cheap” good thing accomplishing safety complaints flights "
"233"," rn average "
"234"," rn expected budget "
"235"," rn morning hoamz april "
"236"," rn april "
"237"," rn fly april "
"238"," rn don april "
"239"," rn family trip years years april "
"240"," rn fly april "
"241"," complete joke mob customer completely website booking process doesn work app won accept payment days hotel reserve pay flights apparently don accept foreign transfers credit cards figure unable book "
"242"," biggest company indonesia cover destination indonesia including remote location wings company group serve smaller aircraft schedule make choose schedule providing cheap ticket compare ideal "
"243"," rn fast frills travel cheap march "
"244"," ve flown times years chaotic legroom real board service efficient indonesian archipelago constantly expanding list destinations subsidiary wings covers large stretch "
"245"," rn helpfull march "
"246"," nam cancelled time arrived airport ado directed customer service office hour airport suffered tropical deluge staff politely diligently worked passengers "
"247"," rn ontime cheap comfortable march "
"248"," efficient check asked aisle seat boarded time comfortable cheap snacks landed time complaints time comfortable cheap price "
"249"," caught denpasar surabaya check queue long didnt give myslef lot time minutes check efficient time rear window seat comfort factor poor legs squeezed seat unable reline snacks "
"250"," rn time february "
"251"," rn low cost carier indonesia february "
"252"," rn wrost indonesia february "
"253"," space legroom service smiling attendents wrost short delay half hours "
"254"," rn hotel provided canceled february "
"255"," rn unexpected decent service january "
"256"," rn unexpected fantastic service january "
"257"," rn care january "
"258"," lcc indonesia airlines care passenger airport minute check due business travel airport gate office told check closed check "
"259"," rn expected january "
"260"," rn wings winging january "
"261"," rn announcement january "
"262"," budget expectations basic expectations clean seat trey table met horrible crew didn people water don hostesses plane inflight service "
"263"," flying order vacation family night bali surabaya web check approximately hours check time ensure departure weather good rain clouds thick difficult penetrate thick clouds "
"264"," rn horror january "
"265"," rn budget airlines indonesia december "
"266"," free food beverages served budget carrier requested emergency exit assign seat additional cost "
"267"," rn check carefully operating december "
"268"," terms luggage allowance huge differences sister company wings accept kgs accept cash pay excess luggage don cash situation "
"269"," rn happy didn crash december "
"270"," booked bengkulu batam day supposed airlines audacity change luckily ticketing staff helpful final destination jarkarta part "
"271"," wife flew wings owned group leg holiday eastern indonesia aircraft afr part group recent aircraft upgrade smooth uneventful half hour class service provided "
"272"," rn late info december "
"273"," rn dont fly december "
"274"," purchase ticket online time flying check counter inform ticket follow passport written ticket missing word bin acceptable "
"275"," rn problem great november "
"276"," bali jakarta check employee bali check bag put check belt luggage tag passport german chatting german living germany hannover "
"277"," rn review cheap time great wheelchair assistance november "
"278"," rn time cheap perfect wheelchair november "
"279"," flew bali jakarta lunchtime called day wheelchair service trouble sorted minutes based booking code arrived airport quick efficient checkin whisked security gate plane sorted aisle seat "
"280"," rn dissapoited stewardesses november "
"281"," rn standard october "
"282"," rn budget plane seldom fly time october "
"283"," rn luggage torn offerv bth acceptable october "
"284"," luggage torn offer bth unbelivable reason torn careless good quality luggage low quality brand time compensate bth compare client asset management "
"285"," rn fly circumstances october "
