"","classification","score","text"
"110","Neutral",0," severely delayed due “operational reasons” hours late precise information ground staff arriving mid evening touched early hours morning time virtually taxis airport wait hour head "
"111","Neutral",0," nice morning jakarta cgk jogja plane departed scheduled morning lcc legroom seat limited inflight entertainment food buy choose earliest schedule fly widely "
"112","Neutral",0," rn average lcc february "
"113","Neutral",0," lcc space legs tv food served buy "
"114","Neutral",0," rn nice spooky landing february "
"115","Neutral",0," rn plenty time connecting flights february "
"116","Neutral",0," rn food leg room february "
"117","Neutral",0," hours waiting making driver wait hours airport pky airport free wifi free food plane wasn bad expect delays flying "
"118","Neutral",0," rn food plane february "
"119","Neutral",0," huge plane departure arrival delay hour staff friendly guess due language barrier coming back bangkok realise menu stock left nuts drink luckily hours cater "
"120","Neutral",0," rn good price problem february "
"121","Neutral",0," good sg jkt delay minutes don jkt sg delay hours budget expect spacious meal service "
"122","Neutral",0," early december cancelled volcanic eruption ’ fault informed rescheduled airport directed locations denpasar refund pay taxi ride day travel agency "
"123","Neutral",0," rn standard january "
"124","Neutral",0," rn average january "
"125","Neutral",0," rn late january "
"126","Neutral",0," late choice offer varied schedules "
"127","Neutral",0," ’ ’ bandung airport staff kind helpfully detail needed lombok check staff slow response preferred chat staff costumer gave service fast "
"128","Neutral",0," rn time january "
"129","Neutral",0," bought ticket months ago traveloka schedule jakarta weeks date received email traveloka scheduled contact earliest scheduled boarding "
"130","Neutral",0," rn address january "
"131","Neutral",0," rn route transit airlines january "
"132","Neutral",0," rn time flying company january "
"133","Neutral",0," time flying airthey badwas cheap bali jakarta booked week beforetravelled child good uswould fly "
"134","Neutral",0," rn live life edge january "
"135","Neutral",0," rep late figured hrs wait dps catch mel wrong credit pulled stops made min spare exciting spend ladt day indonesia "
"136","Neutral",0," rn price january "
"137","Neutral",0," rn january "
"138","Neutral",0," rn time leg space december "
"139","Neutral",0," flew bali surabaya aircraft tired window dirty ac didn’ work hot entire "
"140","Neutral",0," rn avond company december "
"141","Neutral",0," rn minutes flew warms ac december "
"142","Neutral",0," today december fly pm delayed pm pm staff plane arrived announcement scheduled fly pm delay announcement destination shown top management capable job "
"143","Neutral",0," rn time december "
"144","Neutral",0," rn playing waiting game december "
"145","Neutral",0," rn fligth krabi bangkok don muang december "
"146","Neutral",0," rn december "
"147","Neutral",0," rn cheap good december "
